|x,y,z,id,height|
2762362.09,1174592.72,1468.39,327.0,21.2700048828126
2762796.26,1174651.2,1527.71,328.0,22.360024414062536
2762094.13,1174371.06,1451.0,329.0,29.949951171875
2762151.44,1174081.09,1431.14,330.0,3.1099707031251
2762974.54,1174280.13,1569.64,331.0,24.2800146484376
2762900.18,1174538.83,1554.6000000000001,332.0,20.919946289062636
2762763.46,1174524.67,1516.52,333.0,11.400004882812482
2762890.54,1174652.05,1559.15,334.0,28.48996582031259
2762475.02,1174251.65,1482.39,335.0,14.6900488281251
2762826.32,1174159.85,1552.51,336.0,23.32005859374999
2762110.78,1174186.13,1446.65,337.0,20.41000976562509
2762672.39,1174426.09,1513.42,338.0,15.970048828125073
2762318.25,1174438.48,1464.32,339.0,17.970024414062436
2762409.5,1174304.45,1481.29,340.0,20.600058593749964
2762309.41,1174516.55,1464.46,341.0,22.279946289062536
2762674.55,1174142.41,1513.88,342.0,22.30004394531261
2762611.55,1174446.44,1508.67,343.0,21.100053710937573
2762995.76,1174997.24,1620.28,344.0,8.965058593749973
2762790.64,1174871.49,1555.66,345.0,24.930019531250082
2762692.42,1174914.53,1522.6100000000001,346.0,16.979995117187627
2762251.03,1174646.71,1448.58,347.0,17.409956054687427
2762139.13,1174829.04,1422.72,348.0,11.740019531250027
2762453.25,1174010.03,1473.78,349.0,19.840058593749973
2762683.51,1174026.75,1497.63,350.0,21.69994628906261
2762771.41,1174732.25,1534.53,351.0,34.19003417968747
2762882.39,1174683.26,1574.3,352.0,34.129956054687455
2762100.02,1174715.26,1435.3700000000001,353.0,24.58997070312512
2762108.52,1174487.36,1444.1000000000001,354.0,24.400048828125136
2762644.7,1174241.03,1506.84,355.0,15.850009765624918
2762123.83,1174603.79,1449.44,356.0,34.120053710937555
2762066.14,1174502.33,1446.96,357.0,32.590004882812536
2762657.19,1174974.43,1519.14,359.0,19.5400244140626
2762635.04,1174304.52,1503.9,360.0,12.889990234375091
2762931.98,1174907.67,1595.82,361.0,18.590019531249936
2762886.62,1174326.21,1549.3700000000001,362.0,15.510014648437618
2762710.82,1174047.38,1501.89,363.0,23.2499853515626
2762775.62,1174137.22,1545.49,364.0,33.14002441406251
2762224.17,1174505.85,1450.41,365.0,19.470058593750082
2762324.12,1174370.39,1475.24,366.0,25.55994628906251
2762536.9,1174294.89,1500.34,367.0,22.789951171874918
2762975.59,1174560.65,1574.1100000000001,368.0,22.059951171875127
2762875.21,1174381.48,1551.82,369.0,20.399956054687436
2762695.81,1174759.2,1497.52,370.0,9.489970703124982
2762043.13,1174971.54,1422.02,371.0,22.969951171874982
2762887.06,1174594.11,1549.92,372.0,19.710039062500073
2762411.25,1174873.8,1446.8600000000001,373.0,7.559951171875127
2762814.62,1174064.33,1546.39,374.0,26.2499853515626
2762682.04,1174431.85,1512.33,375.0,14.069990234374927
2762425.71,1174695.93,1465.95,376.0,16.889941406250045
2762277.04,1174181.58,1463.59,377.0,21.029941406249918
2762829.44,1174322.87,1542.26,378.0,17.68004394531249
2762884.63,1174090.24,1574.94,379.0,37.169980468750055
2762453.97,1174613.79,1464.8700000000001,380.0,6.819951171875118
2762441.75,1174110.31,1468.92,381.0,9.869951171875073
2762888.85,1174452.72,1536.25,382.0,7.8299560546875
2762448.9,1174158.13,1473.94,383.0,12.000058593750055
2762403.52,1174930.86,1464.17,384.0,23.609941406250073
2762644.95,1174940.31,1510.1000000000001,385.0,18.120019531250136
2762845.84,1174838.56,1582.98,386.0,31.799946289062518
2762108.78,1174677.35,1440.49,387.0,28.64002441406251
2762573.31,1174037.56,1481.49,388.0,11.040048828125009
2762614.87,1174703.23,1485.49,389.0,13.729990234375009
2762201.06,1174130.97,1459.84,390.0,24.919956054687418
2762293.3,1174488.28,1465.34,391.0,25.579990234374918
2762571.13,1174576.54,1492.8600000000001,392.0,18.410048828125127
2762681.04,1174046.55,1499.6100000000001,393.0,21.799941406250127
2762564.25,1174400.54,1509.8,394.0,28.590039062499955
